>>>python train_siamese_network.py 

2020-09-18 17:23:49.530751: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
2020-09-18 17:23:49.560168: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2000000000 Hz
2020-09-18 17:23:49.568106: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x56278723bc30 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2020-09-18 17:23:49.568203: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version

Iteration 123/1000000: Train loss: 4.970627, Train Accuracy: 0.500000, lr = 0.001000
Iteration 124/1000000: Train loss: 4.965529, Train Accuracy: 0.500000, lr = 0.001000
Iteration 125/1000000: Train loss: 4.967421, Train Accuracy: 0.500000, lr = 0.001000
Iteration 126/1000000: Train loss: 4.961231, Train Accuracy: 0.500000, lr = 0.001000
Iteration 127/1000000: Train loss: 4.942752, Train Accuracy: 0.531250, lr = 0.001000
Iteration 128/1000000: Train loss: 4.958115, Train Accuracy: 0.546875, lr = 0.001000
Iteration 129/1000000: Train loss: 4.952597, Train Accuracy: 0.578125, lr = 0.001000
Iteration 130/1000000: Train loss: 4.957615, Train Accuracy: 0.500000, lr = 0.001000
Iteration 131/1000000: Train loss: 4.950104, Train Accuracy: 0.625000, lr = 0.001000
Iteration 132/1000000: Train loss: 4.941593, Train Accuracy: 0.515625, lr = 0.001000
Iteration 133/1000000: Train loss: 4.937294, Train Accuracy: 0.546875, lr = 0.001000
Iteration 134/1000000: Train loss: 4.951695, Train Accuracy: 0.500000, lr = 0.001000
Iteration 135/1000000: Train loss: 4.941289, Train Accuracy: 0.562500, lr = 0.001000
Iteration 136/1000000: Train loss: 4.936150, Train Accuracy: 0.578125, lr = 0.001000
Iteration 137/1000000: Train loss: 4.941538, Train Accuracy: 0.656250, lr = 0.001000
Iteration 138/1000000: Train loss: 4.934344, Train Accuracy: 0.609375, lr = 0.001000
Iteration 139/1000000: Train loss: 4.939281, Train Accuracy: 0.515625, lr = 0.001000
Iteration 140/1000000: Train loss: 4.933204, Train Accuracy: 0.515625, lr = 0.001000
Iteration 141/1000000: Train loss: 4.934596, Train Accuracy: 0.484375, lr = 0.001000
Iteration 142/1000000: Train loss: 4.922493, Train Accuracy: 0.546875, lr = 0.001000
Iteration 143/1000000: Train loss: 4.932019, Train Accuracy: 0.531250, lr = 0.001000
Iteration 144/1000000: Train loss: 4.915431, Train Accuracy: 0.515625, lr = 0.001000
Iteration 145/1000000: Train loss: 4.923230, Train Accuracy: 0.531250, lr = 0.001000
Iteration 146/1000000: Train loss: 4.920696, Train Accuracy: 0.578125, lr = 0.001000
Iteration 147/1000000: Train loss: 4.928876, Train Accuracy: 0.515625, lr = 0.001000
Iteration 148/1000000: Train loss: 4.924460, Train Accuracy: 0.531250, lr = 0.001000
Iteration 149/1000000: Train loss: 4.924852, Train Accuracy: 0.515625, lr = 0.001000
Iteration 150/1000000: Train loss: 4.917509, Train Accuracy: 0.546875, lr = 0.001000
Iteration 151/1000000: Train loss: 4.887598, Train Accuracy: 0.578125, lr = 0.001000
Iteration 152/1000000: Train loss: 4.892943, Train Accuracy: 0.515625, lr = 0.001000
Iteration 153/1000000: Train loss: 4.911683, Train Accuracy: 0.484375, lr = 0.001000
Iteration 154/1000000: Train loss: 4.940485, Train Accuracy: 0.515625, lr = 0.001000
Iteration 155/1000000: Train loss: 4.907891, Train Accuracy: 0.500000, lr = 0.001000
Iteration 156/1000000: Train loss: 4.880807, Train Accuracy: 0.500000, lr = 0.001000
Iteration 157/1000000: Train loss: 4.886781, Train Accuracy: 0.546875, lr = 0.001000
Iteration 158/1000000: Train loss: 4.887323, Train Accuracy: 0.562500, lr = 0.001000
Iteration 159/1000000: Train loss: 4.885744, Train Accuracy: 0.515625, lr = 0.001000
Iteration 160/1000000: Train loss: 4.892414, Train Accuracy: 0.515625, lr = 0.001000
Iteration 161/1000000: Train loss: 4.901577, Train Accuracy: 0.531250, lr = 0.001000
Iteration 162/1000000: Train loss: 4.891272, Train Accuracy: 0.656250, lr = 0.001000
Iteration 163/1000000: Train loss: 4.899114, Train Accuracy: 0.484375, lr = 0.001000
Iteration 164/1000000: Train loss: 4.883318, Train Accuracy: 0.500000, lr = 0.001000
Iteration 165/1000000: Train loss: 4.873499, Train Accuracy: 0.609375, lr = 0.001000
Iteration 166/1000000: Train loss: 4.870619, Train Accuracy: 0.562500, lr = 0.001000
Iteration 167/1000000: Train loss: 4.881122, Train Accuracy: 0.515625, lr = 0.001000
Iteration 168/1000000: Train loss: 4.884872, Train Accuracy: 0.484375, lr = 0.001000
Iteration 169/1000000: Train loss: 4.878561, Train Accuracy: 0.562500, lr = 0.001000
Iteration 170/1000000: Train loss: 4.870831, Train Accuracy: 0.562500, lr = 0.001000
Iteration 171/1000000: Train loss: 4.878142, Train Accuracy: 0.468750, lr = 0.001000
Iteration 172/1000000: Train loss: 4.865187, Train Accuracy: 0.468750, lr = 0.001000
Iteration 173/1000000: Train loss: 4.871759, Train Accuracy: 0.562500, lr = 0.001000
Iteration 174/1000000: Train loss: 4.868246, Train Accuracy: 0.546875, lr = 0.001000
Iteration 175/1000000: Train loss: 4.813987, Train Accuracy: 0.562500, lr = 0.001000
Iteration 176/1000000: Train loss: 4.841554, Train Accuracy: 0.562500, lr = 0.001000
Iteration 177/1000000: Train loss: 4.866951, Train Accuracy: 0.562500, lr = 0.001000
Iteration 178/1000000: Train loss: 4.903316, Train Accuracy: 0.468750, lr = 0.001000
Iteration 179/1000000: Train loss: 4.863048, Train Accuracy: 0.562500, lr = 0.001000
Iteration 180/1000000: Train loss: 4.810174, Train Accuracy: 0.593750, lr = 0.001000
Iteration 181/1000000: Train loss: 4.829998, Train Accuracy: 0.531250, lr = 0.001000
Iteration 182/1000000: Train loss: 4.850560, Train Accuracy: 0.578125, lr = 0.001000
Iteration 183/1000000: Train loss: 4.841456, Train Accuracy: 0.562500, lr = 0.001000
Iteration 184/1000000: Train loss: 4.821695, Train Accuracy: 0.578125, lr = 0.001000
Iteration 185/1000000: Train loss: 4.838489, Train Accuracy: 0.578125, lr = 0.001000
